Frase;Polaridade
Poderia ter sido melhor devido ao pouco tempo que tenho para dedicar aos estudos;Positivo
Me sai bem na avaliação pois ele desenvolveu o trabalho passo a passo com a gente;Positivo
Foi um desenvolvimento mediano poderia ter um maior compromentimento com a materia e avaliação;Neutro
Poderia ser melhor pois não me doei o suficiente para ele;Neutro
Tive um desempenho razoavel na avaliação;Positivo
O professor não mostrou uma completa dominio no assunto porem ele explicou de maneira clara como o trabalho deveria ser feito porem não me senti motivado para realizar o trabalho por considerar a materia sem graça apenas de necessario;Positivo
De acordo com o professor eu fui bem;Positivo
Me sinto frustrado com algumas materias por não ter tempo para me dedicar de forma esclusiva;Neutro
Ocorreu de maneira satisfatoria;Positivo
Aula bastante prudutiva pois foi abordado diversos assuntos e dicas sobre os temas de tcc;Positivo
Diante das grandes dificudades acredito que tenho me saido bem mas é claro tenho que me preparar para que eu possa dar o meu melhor;Positivo
Muito bom o desempenho;Positivo
Hoje eu não prestei muita atençao no conteudo tambem a ausencia de professor não ajuda não;Neutro
Desempenho mediano apresentado dificuldades sala e conteudo explicado não memorizado modos e gestos utilizados na diciplina;Negativo
Gostei do meu desempenho essa é uma materia que tenho aprendido com facilidade com empenho em pretica o que foi passado em sala para fixar o conteudo consegui aprender muita coisa;Positivo
Eu acredito que fui bem na avaliação pois me preparei e prestei atenção nas aulas;Positivo
Desempenho moderado devido ao cansaço que é apresentado pela extensa correria que a facudade nos proporciona;Neutro
Na avaliação de libras obtive um bom desempenho pois estudei bem antes e sempre tento prestar atenção nas aulas pois cada sinal é emportante para o aprendezado;Positivo
Achei que poderia ter sido melhor mais pela falta de tempo por trabalhar das sete da amanha as 17 horas não consigo estudar mais para a prova;Neutro
Fui otimo na avaliação de libras minha dificudade na prova aconteceu na parte que a professora fez os sinas pois esqueci de alguns mais a disiplina e muito importante para nosso dia a dia quando deparamos com pessoas surda facilitanto a comunicação;Positivo
Nesta avaliação tive um otimo desempenho aprendera lingua de sinais tida a cultura é muito satisfatoria o que reflete no meu desempenho;Positivo
Fui bem estaria bem confiante quanto ao conteudo;Positivo
Tenho muita coisa para melhorar mais desde o inicio da materia estou melhor do que comecei;Neutro
Não satisfatorio;Neutro
Pela a avaliação ser de consulta facilitou bastante meu desempenho então acho que me sai bem;Positivo
Mediocre poderia ter sido melhor;Neutro
Eu acho que fui muito bem pois o professor me ajudou tirando minhas duvidas;Positivo
Não estava preprado para realizar esta atividade;Neutro
Meu desempenho foi otimo;Positivo
Por eu ter feito um estagio na area o assunto da prova de hoje foi algo que eu tinha a oportunidade de aprender bem no começo do curso me dando facilidade de entedimento espero uma boa nota;Positivo
Algoritmo e um da materias mais intensas do curso testa muito o aluno todo sabemos que e cansativo o curso o dia de trabalho viemos para a facudade já com a mente cansata os exercicios são complexos os indices de aliação em questão de porentagem são pequenas com tudo o estudo em casa é dificil e devido a quantidade de alunos a  pelo ajuda monitorada do professor nem sempre e satisfatoria;Neutro
A avaliação aplicada estava de acordo com o conteudo apresentado em sala;Positivo
Foi uma avaliação que tratou de varios pontos estudados em sala de aula eu me sai muito bem. a minha nota fi bem acima da media mais sinto que preciso aprender mais em se tratando de conversar abertamente com um deficiente auditivo;Positivo
não fui dos melhores faltou um pouco de conhecimento por minha parte;Neutro
Bom desempenho estudando fica melhor ainda;Neutro
Bom desempenho;Positivo
Neutro prestando atenção fazendo pesquisas para conseguir absorver o conhecimento;Positivo
Não muito bem esperava que seria diferente o meu desempenho;Neutro
Decepcionada por não conseguir tirar uma nota boa;Neutro
Eu perdi algumas aulas estou um pouco receioso com o resultado da avaliação;Neutro
Meu desempenho e muito ruim;Neutro
Não satisfatorio;Negativo
Bem o ato de conseguir evoluir a cada dia em falar em publico sinto que estou evoluindo;Positivo
Desempenho bom porem e necessario mudar e melhorar varias coisas;Positivo
Achei muito bom meu desempenho pois consegui aprensentar otrabalho como tinha previsto;Positivo























